Source (EN)	Baseline (GE)	Finetuned (GE)	Reference (GE)
Stop it!	ჟრწ!	ჟრწ!	შეჩერდით!
It’s that simple. We simply have to stop judging others and replace judgmental thoughts and feelings with a heart full of love for God and His children. God is our Father. We are His children. We are all brothers and sisters. I don’t know exactly how to articulate this point of not judging others with sufficient eloquence, passion, and persuasion to make it stick. I can quote scripture, I can try to expound doctrine, and I will even quote a bumper sticker I recently saw. It was attached to the back of a car whose driver appeared to be a little rough around the edges, but the words on the sticker taught an insightful lesson. It read, “Don’t judge me because I sin differently than you.”	ეს ასე მარტივია. უბრალოდ უნდა შევაჩეროთ სხვების განსჯა და შეცვალოთ განსჯის ფიქრები და გრძნობები ღმერთისა და მისი შვილების სიყვარულით სავსე გულით. ღმერთი ჩვენი მამაა. ჩვენ მისი შვილები ვართ. ჩვენ ყველანი ძმები და დები ვართ. მე არ ვიცი ზუსტად როგორ ვხატო ამ პუნქტს, რომ სხვებს არ დავასჯელოთ საკმარისი ელეკვენციით, ვნებიანობით და დამაჯერებლად, რომ ის შეინარჩუნოს. შემიძლია წერილის ციტატა, შემიძლია ვცადო დოქტრინის განმარტება, და მეც კი მოვიყვანო ბამპერის სტიკერი, რომელიც ცოტა ხნის წინ ვნახე. ის იყო მიმაგრებული მანქანის უკანა მხარეს, რომლის მძღოლიც ცოტა უხეში იყო კიდეც კიდეც, მაგრამ სტიკერის სიტყვები გასწავლიდა გონივრული გაკვეთილი. აქ წერია:  Don't judge me because I sin differently than you.	ასე მარტივია. უბრალოდ უნდა შევაჩეროთ სხვების განსჯა და შეცვალოთ განსჯის აზრები და გრძნობები გულით, რომელიც სავსეა ღმერთისა და მისი შვილების სიყვარულით. ღმერთი არის ჩვენი მამა. ჩვენ მისი შვილები ვართ. ჩვენ ყველანი ვართ დები და ძმები. მე ზუსტად არ ვიცი, როგორ ვხატო ამ პუნქტის არაკონტროფა, ენთუზიაზმი და დამაჯერებელი მოსაზრება, რათა ეს შეინარჩუნოს. შემიძლია, მოვიყვანო წერილი, ვცადო, განვმარტოო დოქტრინა და მოვიყვანო ბუმპერის სტიკერიც კი, რომელიც ცოტა ხნის წინ ვნახე. ის მანქანის უკანა მხარეს იყო მიმაგრებული, რომლის მძღოლი კიდეზე ცოტა უხეში ჩანდა, მაგრამ სტიკერის სიტყვებმა გასაჭრელი გაკვეთილი გაასწავლა. იქ წერია: ნუ მსაჯებ, რადგან მე განსხვავებით ვარ თქვენგან	აი ესე მარტივია. ჩვენ უბრალოდ უნდა შევწყვიტოთ სხვების განკითხვა და შევცვალოთ განკითხვის აზრები და გრძნობები ღმერთისა და მისი შვილების მიმართ სიყვარულით. ღმერთი მამაა ჩვენი. ჩვენ მისი შვილები ვართ. ჩვენ ყველანი დები და მმები ვართ. მე ზუსტად არ ვიცი, როგორ გამოვხატო არ განიკითხო იდეა ისეთი მჭერმეტყველებით, ემოციით და დაჯერებულობით, რომ ის სამუდამოდ დაგამახსოვრდეთ. მე შემიძლია წმინდა წერილის სიტყვები მოგახსენოთ, ვეცადო აგიხსნათ დოქტრინა და ზეპირად გითხრათ ცოტა ხნის წინ მანქანის ბამპერზე წაკითხული სიტყვები. მძღოლი, როგორც ჩანს, ცოტა უხეში იყო, მაგრამ წარწერა მისი მანქანის ბამპერზე მე ღრმად გავიაზრე. მანქანაზე ეწერა: „ნუ განმიკითხავთ იმიტიმ, რომ ჩემი ცოდვები განსხვავებულია თქვენი ცოდვებისაგან“.
We must recognize that we are all imperfect—that we are beggars before God. Haven’t we all, at one time or another, meekly approached the mercy seat and pleaded for grace? Haven’t we wished with all the energy of our souls for mercy—to be forgiven for the mistakes we have made and the sins we have committed?	ჩვენ ყველანი უნდა ვიცოდეთ, რომ ჩვენ ყველანი არ ვართ სრულყოფილები, რომ ჩვენ ვართ თხოვნილები ღვთის წინაშე. ჩვენ ყველანი ხომ არ მივუახლოვდით ერთ დროს და სხვა დროს სიმდაბლეთა წყალობის სავარძელს და ვთხოვდით მადლს?	უნდა გავიაზროთ, რომ ჩვენ ყველანი არ ვართ სრულყოფილნი, რომ ღვთის წინაშე ვთხოვთ. ჩვენ ყველანი ერთხელ ან შემდეგში, ნუთუ ჩვენთან არ მოუახლოვდა და მოუწოდა მადლი? ჩვენ მთელი ძალით ვნდომობდით, რომ ჩვენი შეცდომები და ცოდვები მოგვიტევდეს?	ჩვენ უნდა ვაღიაროთ, რომ ყველანი ცოდვილები ვართ, ჩვენ ყველას ღმერთი გვჭირდება. განა ყველას არ გვქონია შემთხვევა, როცა მორჩილებით მივდიოდით შეწყალების ადგილთან და ვევედრებოდით მოწყალებას? განა არ გვინატრია მთელი სულით მოწყალება--ჩადენილი შეცდომებისა და ცოდვების მიტევება?
Because we all depend on the mercy of God, how can we deny to others any measure of the grace we so desperately desire for ourselves? My beloved brothers and sisters, should we not forgive as we wish to be forgiven?	რამეთუ ჩუენ ყოველნი ვართ განუყრელნი ღმრთის წყალობასა, ვითარცა ვკარგავთ სხუათა ყოველსა მას წყალობასა, რომელსა ვნებავთ ჩუენდა თავსა? ძმათა ჩემთა საყვარელო, არა ვნებობთ ჩუენდავე, ვითარცა ვნებობთ ჩუენდავე, რაჲთა ჩუენცა ვნებობთ ჩუენდავე?	რამეთუ ყოველნი ვართ დამოკიდებულნი ღმერთის წყალობაზე, ვითარცა-იგი ვკარგავთ სხვათა ყოველნი მადლითა, რომელნიც სასოწარკვეთილად ვნანთებთ ჩუენ ზედა? ძვირფასო ძმებო და ძმებო, არა ჰქონიათ ჩუენგან მომტევება, ვითარცა გვინდა ჩუენცა მოგვეტევოს?	რადგან ჩვენ ყველანი ღმერთის წყალობაზე ვართ დამოკიდებულნი, როგორ შეგვიძლია უარი ვუთხრათ სხვებს იმ მოწყალების ულუფაზე, რომელსაც ასე სასოწარკვეთილნი ვითხოვთ საკუთარი თავისთვის? ჩემო საყვარელო დებო და ძმებო, თუკი შეწყალებას ვითხოვთ, სხვებს არ უნდა მივუტევოთ?
Is this difficult to do?	რთულია?	რთულია ამის გაკეთება?	ძნელია ამის გაკეთება?
Yes, of course.	ეა, რაკა.	ა, რა თქმა უნდა.	რა თქმა უნდა.
Forgiving ourselves and others is not easy. In fact, for most of us it requires a major change in our attitude and way of thinking—even a change of heart. But there is good news. This “mighty change” of heart is exactly what the gospel of Jesus Christ is designed to bring into our lives.	ჩვენთვის, როგორც ადამიანებს, ასევე სხვებს, პატიება არ არის მარტივი. სინამდვილეში, ჩვენთვის ეს მოითხოვს მნიშვნელოვან ცვლილებას ჩვენი დამოკიდებულებისა და აზროვნების გზაში, თუნდაც გულის შეცვლას. მაგრამ არსებობს კარგი ამბავი. ეს ძლიერი გულის შეცვლა სწორედ ისაა, რასაც იესო ქრისტეს სახარება ჩვენს ცხოვრებაში უნდა მოიტანოს.	საკუთარ თავსა და სხვებს პატიება ადვილი არ არის. სინამდვილეში, უმეტეს ჩვენგანს ეს მოითხოვს დამოკიდებულებისა და აზროვნების მნიშვნელოვან ცვლილებას - გულის შეცვლასაც კი. მაგრამ არსებობს კარგი ამბავი. გულის ეს ძლიერი ცვლილება ზუსტად ისაა, რისი მიღებაც უნდა მოახდინოს იესო ქრისტეს სახარება ჩვენს ცხოვრებაში.	საკუთარი თავისა და სხვების პატიება როდია იოლი საქმე. ფაქტიურად, უმრავლესობისთვის საჭიროა ჩვენი განწყობის და აზროვნების შეცვლა - გულის შეცვლაც კი. მაგრამ ამას დადებითი მხარეც აქვს. გულის ეს ძლიერი შეცვლა 8 ხომ ზუსტად ის არის, რასაც იესო ქრისტეს სახარებას უნდა შეამოჰქონდეს ჩვენს ცხოვრებაში!
How is it done? Through the love of God.	როგორ ხდება ეს? ღვთის სიყვარულით.	რით არის ეს შესაძლებელი? ღვთის სიყვარულით.	როგორ ხდება ეს? ღვთის სიყვარულის მეშვეობით.
When our hearts are filled with the love of God, something good and pure happens to us. We “keep his commandments: and his commandments are not grievous. For whatsoever is born of God overcometh the world.”	რამეთუ თუ გულით ღმრთისაჲჲჲ აღვსო ჩუენ, კეთილი და წმიდაჲ განგვიდეს ჩუენდა, რამეთუ აღმორჩილდეთ მცნებანი მისნი და მცნებანი მისნი არა არიან მძიმენი. რამეთუ ყოველი, რომელი-იგი ღმრთისაჲთაჲთაჲ არს, ამჯობინებს სოფელს.	რამეთუ თუ გულითა ჩუენთა სავსე არს სიყვარულისა ღმრთისა, კეთილი და წმინდა არს ჩუენდა, რამეთუ აღმორჩილვართ მცნებანი მისნი და მცნებანი მისნი არა არიან მძიმენი. რამეთუ ყოველი, რომელი-იგი შჳდნა ღმრთისაგან, ამაღლებს სოფელს.	როცა ჩვენი გულები ღვთის სიყვარულით აღივსებიან, ჩვენში რაღაც კარგი და სუფთა შემოდის. ჩვენ „ვიცავთ მის მცნებებს. ხოლო მისი მცნებები მძიმე როდია.ვინაიდან ყოველი ღვთისგან შობილი სძლევს სოფელს.“9
The more we allow the love of God to govern our minds and emotions—the more we allow our love for our Heavenly Father to swell within our hearts—the easier it is to love others with the pure love of Christ. As we open our hearts to the glowing dawn of the love of God, the darkness and cold of animosity and envy will eventually fade.	რაც უფრო მეტად მივცემთ უფლის სიყვარულს ჩვენი გონებისა და ემოციების მართვის საშუალებას, რაც უფრო მეტად მივცემთ უფლის სიყვარულს ჩვენს გულებში, მით უფრო ადვილია ქრისტეს სუფთა სიყვარულით გვიყვარდეს სხვები.	რაც უფრო მეტად მივცემთ უფლის სიყვარულს უფლის გონებისა და ემოციების მართვის საშუალებას - რაც უფრო მეტად მივცემთ უფლებას, რომ ჩვენი სიყვარული მამაზეციერისთვის ჩვენს გულში გაიზარდოს - მით უფრო ადვილია, გვიყვარდეს სხვები ქრისტეს სუფთა სიყვარულით. როცა ჩვენ ვხსნით ჩვენს გულს უფლის სიყვარულის მზიან ამომღრავებელ დილას, სიბნელე და სიცივე, სიძულვილი და სიძულვილი საბოლოოდ გაქრება.	რაც უფრო მეტად მივცემთ ნებას ღვთის სიყვარულს მოახდინოს გავლენა ჩვენს აზროვნებასა და ემოციებზე, მით უფრო მეტად გაღვივდება მამაზეციერის სიყვარული ჩვენს გულებში და მით უფრო ადვილი იქნება ჩვენთვის ქრისტეს წმინდა სიყვარულით სხვების შეყვარება. როცა ჩვენ გულს ვუხსნით ღვთის სიყვარულის რიჟრაჟს, მტრობისა და შურის სიბნელე და სიცივე უფერულდება.
