XCOMET Scoring Results
Run started at: Mon Apr  7 22:26:05 2025

Baseline XCOMET Scores:
System-level score: 0.735037
Average segment-level score: 0.735037
Individual segment scores:
Sentence 1: 0.649804
Sentence 2: 0.796033
Sentence 3: 0.732048
Sentence 4: 0.488717
Sentence 5: 0.881262
Sentence 6: 0.657654
Sentence 7: 0.880426
Sentence 8: 0.971789
Sentence 9: 0.623562
Sentence 10: 0.779734
Sentence 11: 0.689468
Sentence 12: 0.840578
Sentence 13: 0.828151
Sentence 14: 0.784332
Sentence 15: 0.901581
Sentence 16: 0.872723
Sentence 17: 0.771670
Sentence 18: 0.437327
Sentence 19: 0.633657
Sentence 20: 0.349275
Sentence 21: 0.749619
Sentence 22: 0.786543
Sentence 23: 0.903048
Sentence 24: 0.460323
Sentence 25: 0.450573
Sentence 26: 0.326516
Sentence 27: 0.793898
Sentence 28: 0.862073
Sentence 29: 0.576083
Sentence 30: 0.830703
Sentence 31: 0.491401
Sentence 32: 0.879573
Sentence 33: 0.805337
Sentence 34: 0.759542
Sentence 35: 0.912962
Sentence 36: 0.927397
Sentence 37: 0.755921
Sentence 38: 0.403525
Sentence 39: 0.832685
Sentence 40: 0.251417
Sentence 41: 0.628169
Sentence 42: 0.199897
Sentence 43: 0.852931
Sentence 44: 0.869243
Sentence 45: 0.900186
Sentence 46: 0.754892
Sentence 47: 0.818302
Sentence 48: 0.832679
Sentence 49: 0.728654
Sentence 50: 0.815627
Sentence 51: 0.807068
Sentence 52: 0.852608
Sentence 53: 0.803696
Sentence 54: 0.807740
Sentence 55: 0.525558
Sentence 56: 0.554387
Sentence 57: 0.741218
Sentence 58: 0.633116
Sentence 59: 0.311192
Sentence 60: 0.718164
Sentence 61: 0.855360
Sentence 62: 0.725036
Sentence 63: 0.846222
Sentence 64: 0.966436
Sentence 65: 0.844913
Sentence 66: 0.935959
Sentence 67: 0.805334
Sentence 68: 0.156438
Sentence 69: 0.959084
Sentence 70: 0.879219
Sentence 71: 0.649777
Sentence 72: 0.830493
Sentence 73: 0.908853
Sentence 74: 0.847482
Sentence 75: 0.947342
Sentence 76: 0.695138
Sentence 77: 0.787336
Sentence 78: 0.993085
Sentence 79: 0.754313
Sentence 80: 0.508533
Sentence 81: 0.825713
Sentence 82: 0.854990
Sentence 83: 0.830695
Sentence 84: 0.744002
Sentence 85: 0.842154

Finetuned XCOMET Scores:
System-level score: 0.765530
Average segment-level score: 0.765530
Individual segment scores:
Sentence 1: 0.649804
Sentence 2: 0.789721
Sentence 3: 0.549873
Sentence 4: 0.646547
Sentence 5: 0.979462
Sentence 6: 0.951685
Sentence 7: 0.887828
Sentence 8: 0.942857
Sentence 9: 0.717794
Sentence 10: 0.846523
Sentence 11: 0.899089
Sentence 12: 0.871476
Sentence 13: 0.859902
Sentence 14: 0.859229
Sentence 15: 0.892978
Sentence 16: 0.841266
Sentence 17: 0.752866
Sentence 18: 0.691641
Sentence 19: 0.610714
Sentence 20: 0.341321
Sentence 21: 0.803543
Sentence 22: 0.795983
Sentence 23: 0.931398
Sentence 24: 0.460323
Sentence 25: 0.471114
Sentence 26: 0.385919
Sentence 27: 0.665691
Sentence 28: 0.808581
Sentence 29: 0.514886
Sentence 30: 0.834241
Sentence 31: 0.705610
Sentence 32: 0.826995
Sentence 33: 0.667343
Sentence 34: 0.663503
Sentence 35: 0.903964
Sentence 36: 0.923018
Sentence 37: 0.663170
Sentence 38: 0.941400
Sentence 39: 0.859517
Sentence 40: 0.628735
Sentence 41: 0.739289
Sentence 42: 0.653463
Sentence 43: 0.586571
Sentence 44: 0.834970
Sentence 45: 0.872184
Sentence 46: 0.836767
Sentence 47: 0.810242
Sentence 48: 0.853415
Sentence 49: 0.804385
Sentence 50: 0.805883
Sentence 51: 0.783877
Sentence 52: 0.851011
Sentence 53: 0.856299
Sentence 54: 0.865801
Sentence 55: 0.174286
Sentence 56: 0.478219
Sentence 57: 0.500678
Sentence 58: 0.627891
Sentence 59: 0.745529
Sentence 60: 0.814778
Sentence 61: 0.837858
Sentence 62: 0.257905
Sentence 63: 0.881445
Sentence 64: 0.968072
Sentence 65: 0.896022
Sentence 66: 0.978877
Sentence 67: 0.860011
Sentence 68: 0.806265
Sentence 69: 0.959084
Sentence 70: 0.809554
Sentence 71: 0.758045
Sentence 72: 0.863526
Sentence 73: 0.933246
Sentence 74: 0.810941
Sentence 75: 0.947342
Sentence 76: 0.644660
Sentence 77: 0.829537
Sentence 78: 0.993085
Sentence 79: 0.776255
Sentence 80: 0.608617
Sentence 81: 0.851344
Sentence 82: 0.829974
Sentence 83: 0.896096
Sentence 84: 0.775657
Sentence 85: 0.763595

Statistical Significance Results:
System 1 (Baseline): 0.7350
System 2 (Finetuned): 0.7655
Paired T-Test: t-statistic = -1.76, p-value = 0.082
Bootstrap Resampling (n=300, ratio=0.4): p-value = 0.093

Total runtime: 82.25 seconds
